nombre;tipo;barrio;calle;lat;lon
IMuSA I;puesto fijo;;Obispo Gelabert 3691;-31.63304934;-60.71894348
IMuSA II;puesto fijo;;San José 8400;-31.586833;-60.706058
VP;móvil;Vuelta del Paraguayo;;-31.64383316;-60.67449188
LB;móvil;La Boca;Manzana 10;-31.69174576;-60.67973328
LT;móvil;Los Troncos;Paredes y Berutti;-31.580151;-60.752183
EB;móvil;El Bañado;René Favaloro y Guillermo Tepper;-31.63236618;-60.62625122
RF;móvil;René Favaloro;San José y La Salle;-31.56972018;-60.70005003
BE;móvil;Esmeralda;;;
CD;móvil;Coronel Dorrego;Alberdi 7936;-31.59741999;-60.68017038
ADV;móvil;Altos del Valle;;;
PN;móvil;Playa Norte;Riobamba 8600;-31.59782268;-60.6650207
CN;móvil;Colastiné Norte;La Casa del Nogal, Ruta 1 Km 2.3;-31.62848975;-60.60861609
LG;móvil;La Guardia;;;
AV;móvil;Alto Verde;Santiago Aicardi y Lucio Suárez, Manzana 2;-31.65821845;-60.69758028
